2003 09 10   &  52892.40   &    1.2  &   CTIO 0.9~m  &    11.940(0.152) &   12.452(0.019) &	 12.483(0.015) &    12.459(0.015) &    12.759(0.015)	 \\
2003 09 10   &  52892.47   &    1.3  &   KAIT	      &       \nodata	  &   12.523(0.015) &	 12.565(0.015) &    12.489(0.015) &    12.827(0.026)	 \\
2003 09 11   &  52893.39   &    2.2  &   CTIO 0.9~m  &    12.125(0.102)  &   12.505(0.020) &	 12.510(0.015) &    12.477(0.015) &    12.779(0.015)	 \\
2003 09 11   &  52893.41   &    2.2  &   KAIT	      &       \nodata	  &   12.619(0.015) &	 12.616(0.015) &    12.509(0.015) &    12.870(0.019)	 \\
2003 09 12   &  52894.37   &    3.2  &   CTIO 0.9~m  &    12.176(0.058)  &   12.534(0.018) &	 12.546(0.015) &    12.514(0.015) &    12.844(0.015)	 \\
2003 09 13   &  52895.37   &    4.2  &   CTIO 0.9~m  &    12.131(0.063)  &   12.631(0.015) &	 12.573(0.015) &    12.586(0.015) &    12.949(0.015)	 \\
2003 09 14   &  52896.38   &    5.2  &   CTIO 0.9~m  &    12.371(0.055)  &   12.702(0.016) &	 12.594(0.015) &    12.626(0.015) &    12.971(0.015)	 \\
2003 09 14   &  52896.52   &    5.3  &   KAIT	      &       \nodata	  &   12.750(0.015) &	 12.676(0.015) &    12.693(0.015) &    13.040(0.020)	 \\
2003 09 15   &  52897.37   &    6.2  &   CTIO  0.9~m  &    12.422(0.052)  &   12.805(0.015) &	 12.681(0.015) &    12.742(0.015) &    13.079(0.015)	 \\
2003 09 15   &  52897.51   &    6.3  &   KAIT	      &       \nodata	  &   12.887(0.015) &	 12.748(0.015) &    12.814(0.015) &    13.180(0.020)	 \\
2003 09 16   &  52898.52   &    7.3  &   KAIT	      &       \nodata	  &   12.985(0.015) &	 12.804(0.015) &    12.911(0.015) &    13.263(0.023)	 \\
2003 09 17   &  52899.52   &    8.3  &   KAIT	      &       \nodata	  &   13.094(0.015) &	 12.858(0.015) &    13.010(0.015) &    13.288(0.024)	 \\
2003 09 19   &  52901.40   &   10.2  &   LCO  Swope  &    13.113(0.089)  &   13.319(0.021) &	 13.004(0.018) &       \nodata    &      \nodata	 \\
2003 09 19   &  52901.44   &   10.2  &   KAIT	      &       \nodata	  &   13.406(0.015) &	 13.044(0.015) &    13.120(0.015) &    13.330(0.019)	 \\
2003 09 20   &  52902.30   &   11.1  &   LCO  Swope  &    13.358(0.018)  &   13.410(0.015) &	 13.010(0.015) &    13.083(0.015) &    13.201(0.015)	 \\
2003 09 20   &  52902.48   &   11.3  &   KAIT	      &       \nodata	  &   13.520(0.015) &	 13.055(0.015) &    13.175(0.015) &    13.327(0.017)	 \\
2003 09 21   &  52903.46   &   12.3  &   KAIT	      &       \nodata	  &   13.664(0.015) &	 13.134(0.015) &    13.193(0.015) &    13.317(0.019)	 \\
2003 09 22   &  52904.49   &   13.3  &   KAIT	      &       \nodata	  &   13.789(0.015) &	 13.247(0.015) &    13.233(0.015) &    13.277(0.019)	 \\
2003 09 23   &  52905.26   &   14.1  &   CTIO 0.9~m  &    13.788(0.039)  &   13.825(0.015) &	 13.245(0.015) &    13.178(0.015) &    13.207(0.015)	 \\
2003 09 23   &  52905.30   &   14.1  &   LCO Swope  &    13.838(0.040)  &   13.851(0.015) &	 13.215(0.015) &    13.118(0.015) &    13.128(0.015)	 \\
2003 09 24   &  52906.40   &   15.2  &   LCO Swope  &    14.034(0.035)  &   14.007(0.015) &	 13.328(0.015) &    13.163(0.015) &    13.180(0.015)	 \\
2003 09 24   &  52906.48   &   15.3  &   KAIT	      &       \nodata	  &   14.106(0.015) &	 13.333(0.015) &    13.225(0.015) &    13.218(0.017)	 \\
2003 09 25   &  52907.30   &   16.1  &   LCO Swope  &    14.162(0.089)  &   14.157(0.016) &	 13.352(0.023) &    13.180(0.015) &    13.043(0.029)	 \\
2003 09 26   &  52908.30   &   17.1  &   LCO Swope  &    14.249(0.038)  &   14.298(0.015) &	 13.320(0.021) &    13.163(0.015) &    13.040(0.029)	 \\
2003 09 28   &  52910.47   &   19.3  &   KAIT	      &       \nodata	  &   14.621(0.015) &	 13.610(0.015) &    13.360(0.015) &    13.137(0.021)	 \\
2003 09 30   &  52912.47   &   21.3  &   KAIT	      &       \nodata	  &   14.808(0.015) &	 13.798(0.015) &    13.478(0.015) &    13.189(0.019)	 \\
2003 10 02   &  52914.40   &   23.2  &   LCO Swope  &    15.020(0.102)  &   14.992(0.022) &	 13.925(0.015) &    13.561(0.020) &    13.212(0.015)	 \\
2003 10 02   &  52914.46   &   23.3  &   KAIT	      &       \nodata	  &   15.022(0.015) &	 13.988(0.015) &    13.644(0.015) &    13.308(0.022)	 \\
2003 10 04   &  52916.46   &   25.3  &   KAIT	      &       \nodata	  &   15.158(0.015) &	 14.141(0.015) &    13.844(0.015) &    13.512(0.022)	 \\
2003 10 07   &  52919.42   &   28.2  &   KAIT	      &       \nodata	  &   15.340(0.015) &	 14.393(0.015) &    14.071(0.015) &    13.734(0.024)	 \\
