2003 09 10     52892.37    1.2     CTIO 1.3~m    13.252 0.015      13.081 0.015      13.286 0.015      13.100 0.018    
2003 09 14     52896.28    5.1     CTIO 1.3~m     13.591 0.015      13.792 0.015      13.423 0.015      13.378 0.021    
2003 09 17     52899.28    8.1     CTIO 1.3~m     13.716 0.015      14.435 0.015      13.502 0.015      13.529 0.026    
2003 09 24     52906.31   15.1     CTIO 1.3~m     13.403 0.015      14.491 0.015      13.202 0.015      13.211 0.018    
2003 09 28     52910.26   19.1     CTIO 1.3~m     13.031 0.015      14.179 0.015      13.112 0.015      13.189 0.022    
2003 10 02     52914.20   23.0     CTIO 1.3~m     12.845 0.016      14.000 0.018      13.283 0.020      13.216 0.073    
2003 10 05  	52917.25   26.1     CTIO 1.3~m     13.025 0.015      14.306 0.015      13.546 0.015      13.524 0.020    
2003 10 08  	52920.24   29.0     CTIO 1.3~m     13.255 0.015      14.657 0.015      13.799 0.015      13.796 0.026    
2003 10 11  	52923.22   32.0     CTIO 1.3~m     13.439 0.015      14.980 0.015      13.958 0.015      13.936 0.022    
2003 10 14  	52926.25   35.1     CTIO 1.3~m     13.650 0.015      15.236 0.016      14.145 0.016   	\nodata      
2003 10 17  	52929.22   38.0     CTIO 1.3~m     13.844 0.015      15.519 0.015      14.273 0.015      14.116 0.026    
2003 10 20  	52932.17   41.0     CTIO 1.3~m     14.037 0.015      15.725 0.017      14.431 0.016      14.306 0.024    
2003 10 24  	52936.21   45.0     CTIO 1.3~m     14.468 0.015      16.310 0.023      14.770 0.018   	\nodata     
2003 11 03  	52946.21   55.0     CTIO 1.3~m     14.912 0.015      16.790 0.036      15.041 0.020      15.060 0.048    
2003 11 10  	52953.22   62.0     CTIO 1.3~m     15.207 0.017      17.088 0.065      15.420 0.037   	\nodata     
2004 08 18  	   53235.37   344.2  VLT Antu   \nodata     20.394 0.140    \nodata 	 \nodata    
2004 08 29   	   53246.31   355.1  VLT Antu   \nodata     \nodata   19.977 0.106      20.221 0.216       
2004 08 30         53247.28   356.1  VLT Antu   \nodata    20.078 0.122     \nodata 	20.303 0.224 	
2005 01 24         53394.06   502.9  VLT Antu   \nodata     \nodata   20.163 0.138  	 $>$ 20.700	  
2005 02 24         53425.99   534.8  VLT Antu   \nodata     \nodata   \nodata     $>$ 20.700	 
2005 02 27         53428.99   537.8  VLT Antu   \nodata     \nodata   20.495 0.146  	 \nodata    
2005 02 28         53429.99   538.8  VLT Antu   \nodata     21.087 0.144    \nodata 	 \nodata    
2005 10 14     53657.07   765.9  VLT Antu   \nodata     $>$ 22.310   $>$ 22.000 	 \nodata    
2005 11 03  	   53677.31   786.1  {\it HST} NICMOS$^d$  \nodata     \nodata   22.691 0.051  	 \nodata     

